V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
58,Dependiente,147653,Primaria,Soltero,Medio,Media,Femenino,0,1977,35,Alto
39,Dependiente,108140,Superior,Soltero,Alto,Alta,Masculino,0,0,50,Alto
49,Dependiente,188823,Secundaria,Soltero,Alto,Alta,Masculino,0,0,42,Alto
39,Dependiente,249720,Técnico,Soltero,Alto,Baja,Femenino,0,0,60,Bajo
18,Dependiente,181712,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,12,Alto
52,Dependiente,74275,Secundaria,Soltero,Alto,Alta,Masculino,7298,0,45,Alto
28,Dependiente,142712,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Bajo
22,Dependiente,233624,Secundaria,Soltero,Alto,Alta,Masculino,0,0,43,Medio
45,Independiente,257855,Secundaria,Soltero,Alto,Alta,M,0,0,50,Bajo
61,Dependiente,35649,Secundaria,Soltero,Alto,Alta,Masculino,0,0,6,Bajo
62,Dependiente,88579,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,38,Alto
21,Dependiente,225890,Secundaria,Conviviente,Alto,Media,Femenino,0,0,30,Alto
20,Dependiente,91939,Secundaria,Conviviente,Alto,Alta,Femenino,0,1721,30,Alto
48,Dependiente,247895,Técnico,Soltero,Bajo,Media,Masculino,0,0,40,Medio
48,Dependiente,30840,Secundaria,Soltero,Alto,Alta,Masculino,5013,0,45,Alto
36,Dependiente,337039,Técnico,Conviviente,Bajo,Alta,Masculino,14344,0,40,Alto
53,Dependiente,89400,Secundaria,Caso,Alto,Baja,Femenino,0,0,40,Medio
28,Dependiente,411587,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Bajo
27,Dependiente,159897,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,37,Bajo
36,Dependiente,27408,Técnico,Soltero,Medio,Media,Masculino,0,0,60,Medio
63,Dependiente,181828,Secundaria,Soltero,Alto,Alta,Masculino,0,0,48,Medio
24,Dependiente,464103,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,50,Medio
57,Dependiente,124771,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
59,Dependiente,258579,Secundaria,Soltero,Alto,Alta,Masculino,3103,0,35,Alto
41,Dependiente,206066,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Bajo
41,Independiente,175537,Secundaria,Soltero,Alto,Alta,Femenino,0,0,38,Bajo
64,Independiente,301383,Técnico,Soltero,Bajo,Media,Masculino,9386,0,45,Medio
55,NA,105138,Secundaria,Soltero,NA,NA,Femenino,4800,2000,40,Bajo
54,Independiente,332243,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
41,Dependiente,106627,Técnico,Soltero,Medio,Alta,Femenino,0,0,50,Bajo
49,Dependiente,176814,Secundaria,Soltero,Alto,Alta,Masculino,0,0,50,Alto
58,Dependiente,117477,Secundaria,Soltero,Alto,Baja,Femenino,0,0,36,Alto
29,Independiente,309620,Superior,Soltero,Alto,Alta,Masculino,0,0,20,Alto
54,Dependiente,146574,Secundaria,Soltero,Medio,Media,Masculino,0,0,40,Medio
32,Dependiente,29933,Secundaria,Soltero,Alto,Alta,Masculino,5178,0,40,Alto
20,Dependiente,379525,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,10,Medio
58,Dependiente,97562,Secundaria,Soltero,Alto,Alta,Femenino,0,0,38,Bajo
20,Dependiente,275357,Técnico,Conviviente,Alto,Alta,Femenino,0,0,25,Bajo
31,Dependiente,193477,Secundaria,Soltero,Alto,Alta,Masculino,0,0,55,Medio
47,Dependiente,190072,Secundaria,Soltero,Alto,Baja,Masculino,0,0,50,Bajo
