edad,tipo_relacion_laboral,impuestos_anuales,nivel_educativo,estado_civil,clase_trabajo,educacion_final,genero,ganancia_capital,perdida_capital,horas_semanales,nivel_ingresos
58.0,Dependiente,147653.0,Primaria,Soltero,Medio,Media,Femenino,0.0,1977.0,35.0,Alto
39.0,Dependiente,108140.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
49.0,Dependiente,188823.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,42.0,Alto
39.0,Dependiente,249720.0,Técnico,Soltero,Alto,Baja,Femenino,0.0,0.0,60.0,Bajo
18.0,Dependiente,181712.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,12.0,Alto
52.0,Dependiente,74275.0,Secundaria,Soltero,Alto,Alta,Masculino,7298.0,0.0,45.0,Alto
28.0,Dependiente,142712.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
22.0,Dependiente,233624.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,43.0,Medio
45.0,Independiente,257855.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,50.0,Bajo
61.0,Dependiente,35649.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,6.0,Bajo
62.0,Dependiente,88579.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,38.0,Alto
21.0,Dependiente,225890.0,Secundaria,Conviviente,Alto,Media,Femenino,0.0,0.0,30.0,Alto
20.0,Dependiente,91939.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,1721.0,30.0,Alto
48.0,Dependiente,247895.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,40.0,Medio
48.0,Dependiente,30840.0,Secundaria,Soltero,Alto,Alta,Masculino,5013.0,0.0,45.0,Alto
36.0,Dependiente,337039.0,Técnico,Conviviente,Bajo,Alta,Masculino,14344.0,0.0,40.0,Alto
53.0,Dependiente,89400.0,Secundaria,Casado,Alto,Baja,Femenino,0.0,0.0,40.0,Medio
28.0,Dependiente,411587.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
27.0,Dependiente,159897.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,37.0,Bajo
36.0,Dependiente,27408.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,60.0,Medio
63.0,Dependiente,181828.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,48.0,Medio
24.0,Dependiente,464103.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,50.0,Medio
57.0,Dependiente,124771.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
59.0,Dependiente,258579.0,Secundaria,Soltero,Alto,Alta,Masculino,3103.0,0.0,35.0,Alto
41.0,Dependiente,206066.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
41.0,Independiente,175537.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,38.0,Bajo
64.0,Independiente,301383.0,Técnico,Soltero,Bajo,Media,Masculino,9386.0,0.0,45.0,Medio
55.0,Dependiente,105138.0,Secundaria,Soltero,Alto,Alta,Femenino,4800.0,2000.0,40.0,Bajo
54.0,Independiente,332243.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
41.0,Dependiente,106627.0,Técnico,Soltero,Medio,Alta,Femenino,0.0,0.0,50.0,Bajo
49.0,Dependiente,176814.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
58.0,Dependiente,117477.0,Secundaria,Soltero,Alto,Baja,Femenino,0.0,0.0,36.0,Alto
29.0,Independiente,309620.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,20.0,Alto
54.0,Dependiente,146574.0,Secundaria,Soltero,Medio,Media,Masculino,0.0,0.0,40.0,Medio
32.0,Dependiente,29933.0,Secundaria,Soltero,Alto,Alta,Masculino,5178.0,0.0,40.0,Alto
20.0,Dependiente,379525.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,10.0,Medio
58.0,Dependiente,97562.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,38.0,Bajo
20.0,Dependiente,275357.0,Técnico,Conviviente,Alto,Alta,Femenino,0.0,0.0,25.0,Bajo
31.0,Dependiente,193477.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,55.0,Medio
47.0,Dependiente,190072.0,Secundaria,Soltero,Alto,Baja,Masculino,0.0,0.0,50.0,Bajo
26.0,Dependiente,172063.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,24.0,Bajo
36.0,Dependiente,182074.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,45.0,Alto
31.0,Dependiente,203463.0,Técnico,Conviviente,Bajo,Alta,Femenino,0.0,0.0,40.0,Bajo
74.0,Dependiente,109101.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,4.0,Bajo
19.0,Dependiente,120277.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,30.0,Medio
36.0,Dependiente,113397.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
67.0,Dependiente,190340.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
37.0,Dependiente,102541.0,Técnico,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
59.0,Dependiente,31782.0,Primaria,Soltero,Medio,Media,Masculino,0.0,0.0,45.0,Alto
26.0,Dependiente,294493.0,Técnico,Conviviente,Medio,Baja,Masculino,0.0,0.0,40.0,Medio
66.0,Dependiente,213477.0,Primaria,Soltero,Alto,Alta,Masculino,0.0,0.0,10.0,Bajo
52.0,Dependiente,175622.0,Técnico,Soltero,Medio,Alta,Femenino,0.0,0.0,40.0,Medio
26.0,Dependiente,32276.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
18.0,Dependiente,348588.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,25.0,Bajo
18.0,Dependiente,270502.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,20.0,Alto
45.0,Mixto,198223.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,1902.0,45.0,Medio
48.0,Independiente,44434.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,61.0,Alto
34.0,Dependiente,306982.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,60.0,Medio
21.0,Dependiente,108670.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
36.0,Dependiente,297449.0,Técnico,Soltero,Alto,Alta,Masculino,14084.0,0.0,40.0,Alto
25.0,Dependiente,431861.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
37.0,Dependiente,154641.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,86.0,Bajo
44.0,Dependiente,210525.0,Secundaria,Soltero,Alto,Alta,Masculino,4800.0,5200.0,40.0,Alto
35.0,Dependiente,91839.0,Técnico,Soltero,Alto,Alta,Masculino,7688.0,0.0,20.0,Alto
27.0,Dependiente,587310.0,Primaria,Conviviente,Medio,Baja,Masculino,0.0,0.0,35.0,Medio
44.0,Dependiente,106900.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,60.0,Bajo
62.0,Independiente,223637.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,35.0,Bajo
47.0,Dependiente,114770.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,32.0,Alto
39.0,Dependiente,114591.0,Secundaria,Conviviente,Alto,Baja,Femenino,0.0,0.0,40.0,Bajo
29.0,Independiente,309778.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
27.0,Dependiente,200928.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,22.0,Bajo
35.0,Dependiente,335704.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
