anio,semana,label,prediction,year_week
2020,1,733,716.7386895112703,2020-01
2020,2,751,749.4566831518645,2020-02
2020,3,781,737.3160838573336,2020-03
2020,4,756,764.6737653904398,2020-04
2020,5,700,742.271085627904,2020-05
2020,6,752,692.766500578513,2020-06
2020,7,781,758.7987737875906,2020-07
2020,8,830,764.6737653904398,2020-08
2020,9,810,811.7155300723484,2020-09
2020,10,724,778.6474085904757,2020-10
2020,11,751,747.4626259817801,2020-11
2020,12,752,741.7061580258006,2020-12
2020,13,786,726.405389467402,2020-13
2020,14,871,764.6737653904398,2020-14
2020,15,892,837.1544609644234,2020-15
2020,16,864,953.6739322017331,2020-16
2020,17,888,881.5674860263306,2020-17
2020,18,903,891.9357697293585,2020-18
2020,19,1027,915.2899780364468,2020-19
2020,20,1006,986.4439555222474,2020-20
2020,21,952,991.4969578372105,2020-21
2020,22,1106,940.6194892028109,2020-22
2020,23,1135,1059.679969596622,2020-23
2020,24,1098,1129.7741261070303,2020-24
2020,25,1135,1129.7741261070303,2020-25
2020,26,1091,1129.7741261070303,2020-26
2020,27,1154,1042.3864154220744,2020-27
2020,28,1201,1140.764185965979,2020-28
2020,29,1100,1212.3303008752787,2020-29
2020,30,1083,1158.5219020999039,2020-30
2020,31,1073,1042.3864154220744,2020-31
2020,32,977,1042.3864154220744,2020-32
2020,33,923,1087.2888333696408,2020-33
2020,34,861,920.2763582292312,2020-34
2020,35,942,890.3191312159609,2020-35
2020,36,888,892.9642742333276,2020-36
2020,37,876,923.9046537166469,2020-37
2020,38,905,915.2899780364468,2020-38
2020,39,890,891.3092006514883,2020-39
2020,40,864,915.2899780364468,2020-40
2020,41,843,892.5064162296917,2020-41
2020,42,865,826.4204937151592,2020-42
2020,43,869,919.2919426895248,2020-43
2020,44,858,949.3002123402425,2020-44
2020,45,909,881.5674860263306,2020-45
2020,46,854,955.6562992967802,2020-46
2020,47,841,905.2106297718275,2020-47
2020,48,879,826.4204937151592,2020-48
2020,49,793,923.6656625510157,2020-49
2020,50,728,776.3811625239807,2020-50
2020,51,775,747.4626259817801,2020-51
2020,52,779,779.9745339488385,2020-52
2021,1,696,799.449365951354,2021-01
2021,2,830,712.5360227590046,2021-02
2021,3,740,836.0497734791301,2021-03
2021,4,650,755.3991175041491,2021-04
2021,5,679,684.0835026032424,2021-05
2021,6,604,705.85543121756,2021-06
2021,7,612,631.3593703174236,2021-07
2021,8,687,631.3593703174236,2021-08
2021,9,669,710.1886469134578,2021-09
2021,10,686,687.5907715718529,2021-10
2021,11,752,727.0520980331103,2021-11
2021,12,615,749.4566831518645,2021-12
2021,13,514,655.2890704226546,2021-13
2021,14,313,583.9789511899971,2021-14
2021,15,227,505.54054103227975,2021-15
2021,16,257,505.54054103227975,2021-16
2021,17,317,505.54054103227975,2021-17
2021,18,282,505.54054103227975,2021-18
2021,19,333,505.54054103227975,2021-19
2021,20,406,505.54054103227975,2021-20
2021,21,433,505.54054103227975,2021-21
2021,22,439,505.54054103227975,2021-22
2021,23,541,505.54054103227975,2021-23
2021,24,524,505.54054103227975,2021-24
2021,25,575,505.54054103227975,2021-25
2021,26,555,601.767070972381,2021-26
2021,27,582,601.767070972381,2021-27
2021,28,623,605.296626151096,2021-28
2021,29,656,600.4364734703483,2021-29
