departamento,siniestros_totales,total_reclamos,total_bajas,polizas_nuevas_totales,prediction
AMAZONAS,24307,4917,476,1495010,0
ANCASH,34464,14218,579,2483352,0
APURIMAC,25823,8561,418,1436237,0
AREQUIPA,76310,27151,2130,4159403,2
AYACUCHO,21574,10260,1319,1522255,0
CAJAMARCA,53222,14544,687,3259263,2
CALLAO,36849,8860,1298,2742236,0
CUSCO,66119,23303,2014,2901581,2
HUANCAVELICA,25766,9481,1711,1533370,0
HUANUCO,52861,18262,968,2102105,2
ICA,20411,10965,1287,1987002,0
JUNIN,39514,16934,1033,2370789,2
LA LIBERTAD,45892,17374,2733,3727164,2
LAMBAYEQUE,23697,2753,143,2967080,0
LIMA,267746,95460,7853,15263367,1
LORETO,82184,22031,1091,2760453,2
PASCO,17068,7227,335,1049100,0
MADRE DE DIOS,6798,2299,107,379188,0
MOQUEGUA,6762,3932,397,700782,0
PIURA,80872,23298,2956,4216971,2
PUNO,49576,14599,2124,2151339,2
SAN MARTIN,26195,9062,684,1307452,0
TUMBES,5021,1627,31,496667,0
TACNA,5066,1516,215,963508,0
UCAYALI,40708,8095,429,1687735,0
